"","OwnerID","FranchiseNumber","LeagueID","Points","Rank"
"804",804,12,67,2188.4,8
"805",805,1,68,2150.4,9
"806",806,2,68,2419.7,2
"807",807,3,68,2013.9,12
"808",808,4,68,2368.2,3
"809",809,5,68,2331.1,4
"810",810,6,68,2166,8
"811",811,7,68,2176.1,7
"812",812,8,68,2426,1
"813",813,9,68,2240.3,5
"814",814,10,68,2062.6,11
"815",815,11,68,2117.3,10
"816",816,12,68,2217.1,6
"817",817,1,69,2272.6,5
"818",818,2,69,2320,3
"819",819,3,69,1848.6,12
"820",820,4,69,2279,4
"821",821,5,69,2025.1,11
"822",822,6,69,2128,9
"823",823,7,69,2169.5,8
"824",824,8,69,2321.5,2
"825",825,9,69,2176.5,7
"826",826,10,69,2250.7,6
"827",827,11,69,2432.2,1
"828",828,12,69,2069.8,10
"829",829,1,70,2215.9,7
"830",830,2,70,2284.3,5
"831",831,3,70,2302.9,3
"832",832,4,70,2299.5,4
"833",833,5,70,2502,1
"834",834,6,70,2232,6
"835",835,7,70,2196,8
"836",836,8,70,2116.5,9
"837",837,9,70,2106.4,10
"838",838,10,70,2326.6,2
"839",839,11,70,2017.7,12
"840",840,12,70,2043.8,11
"841",841,1,71,1955.7,11
"842",842,2,71,2308.5,2
"843",843,3,71,2277,4
"844",844,4,71,2292,3
"845",845,5,71,2337.1,1
"846",846,6,71,2136.9,9
"847",847,7,71,2181.2,7
"848",848,8,71,2221.9,6
"849",849,9,71,2019.5,10
"850",850,10,71,1935.7,12
"851",851,11,71,2236.8,5
"852",852,12,71,2171.5,8
"853",853,1,72,2134.1,9
"854",854,2,72,2161,8
"855",855,3,72,2287.4,3
"856",856,4,72,2217.8,6
"857",857,5,72,2047.1,11
"858",858,6,72,1965.5,12
"859",859,7,72,2381.6,2
"860",860,8,72,2204.4,7
"861",861,9,72,2413.5,1
"862",862,10,72,2222.6,5
"863",863,11,72,2237,4
"864",864,12,72,2124.3,10
"865",865,1,73,2371.7,2
"866",866,2,73,2198.4,5
"867",867,3,73,2307.1,3
"868",868,4,73,2056,9
"869",869,5,73,1887.8,11
"870",870,6,73,2157.3,7
"871",871,7,73,1855.8,12
